chr_type,enhancer,gene,promoter_up,promoter_down,encode_no
chr10,chr10:82003000-82004000,ENSG00000204038,chr10:82008466-82009465,chr10:82013396-82014395,17
chr16,chr16:31036400-31038200,ENSG00000099365,chr16:30999577-31000576,chr16:31021950-31022949,17
chr19,chr19:49532400-49533600,ENSG00000213030,chr19:49549895-49550894,chr19:49552401-49553400,17
chr11,chr11:4911400-4911800,ENSG00000176900,chr11:4902049-4903048,chr11:4904114-4905113,17
chr20,chr20:4210600-4212400,ENSG00000171873,chr20:4200329-4201328,chr20:4229722-4230721,17
chr17,chr17:7528600-7530600,ENSG00000129214,chr17:7516382-7517381,chr17:7536701-7537700,17
chr16,chr16:5018600-5021000,ENSG00000118898,chr16:4931508-4932507,chr16:5010743-5011742,17
chr2,chr2:238383800-238385600,ENSG00000115648,chr2:238393071-238394070,chr2:238463962-238464961,17
chr22,chr22:38444600-38445800,ENSG00000100151,chr22:38451318-38452317,chr22:38471709-38472708,17
chr8,chr8:106336600-106336800,ENSG00000169946,chr8:106329920-106330919,chr8:106816761-106817760,17
chr6,chr6:151567600-151569800,ENSG00000131016,chr6:151560134-151561133,chr6:151679693-151680692,17
chrX,chrX:77898400-77900600,ENSG00000179300,chrX:77910566-77911565,chrX:77914826-77915825,17
chr3,chr3:183951000-183952800,ENSG00000214160,chr3:183959089-183960088,chr3:183967337-183968336,17
chr13,chr13:113756000-113756400,ENSG00000126218,chr13:113776128-113777127,chr13:113803844-113804843,17
chr22,chr22:44286400-44288400,ENSG00000100344,chr22:44318619-44319618,chr22:44360369-44361368,17
chr12,chr12:57827800-57830000,ENSG00000139269,chr12:57845106-57846105,chr12:57853064-57854063,17
chr8,chr8:87490000-87492200,ENSG00000085719,chr8:87496059-87497058,chr8:87573727-87574726,17
chr11,chr11:68429800-68430000,ENSG00000069482,chr11:68450247-68451246,chr11:68458644-68459643,17
chr12,chr12:28272200-28273000,ENSG00000123106,chr12:28285182-28286181,chr12:28732884-28733883,17
chr17,chr17:19320800-19322600,ENSG00000166482,chr17:19285755-19286754,chr17:19290554-19291553,17
chrX,chrX:37229600-37231600,ENSG00000250349,chrX:37207583-37208582,chrX:38546929-38547928,17
chr3,chr3:194067000-194068600,ENSG00000172061,chr3:194074976-194075975,chr3:194090473-194091472,17
chr8,chr8:133883200-133884000,ENSG00000042832,chr8:133878203-133879202,chr8:134147148-134148147,17
chr17,chr17:15512800-15513000,ENSG00000241322,chr17:15467798-15468797,chr17:15522827-15523826,17
chr2,chr2:33634200-33635400,ENSG00000152689,chr2:33660391-33661390,chr2:33789818-33790817,17
chr7,chr7:74469200-74470800,ENSG00000174374,chr7:74440226-74441225,chr7:74490065-74491064,17
chr17,chr17:48491200-48492800,ENSG00000167107,chr17:48502519-48503518,chr17:48552207-48553206,17
chr11,chr11:8006400-8008800,ENSG00000182261,chr11:7979971-7980970,chr11:7986974-7987973,17
chrX,chrX:102970800-102973200,ENSG00000179363,chrX:102964837-102965836,chrX:102968957-102969956,17
chr20,chr20:50194400-50196600,ENSG00000101096,chr20:50002494-50003493,chr20:50179371-50180370,17
chr11,chr11:64074000-64076000,ENSG00000126432,chr11:64084560-64085559,chr11:64089284-64090283,17
chr16,chr16:16307400-16309200,ENSG00000091262,chr16:16241785-16242784,chr16:16317380-16318379,17
chrX,chrX:106141600-106143800,ENSG00000147223,chrX:106142293-106143292,chrX:106146566-106147565,17
chr17,chr17:39595200-39596200,ENSG00000108759,chr17:39615063-39616062,chr17:39623682-39624681,17
chr8,chr8:71510800-71511600,ENSG00000067167,chr8:71484677-71485676,chr8:71520623-71521622,17
chr7,chr7:80823800-80825800,ENSG00000237896,chr7:80803824-80804823,chr7:80828432-80829431,17
chr16,chr16:66892800-66894200,ENSG00000168748,chr16:66877282-66878281,chr16:66888057-66889056,17
chr21,chr21:46358200-46359600,ENSG00000160255,chr21:46304868-46305867,chr21:46351905-46352904,17
chr7,chr7:56143800-56145000,ENSG00000164776,chr7:56147440-56148439,chr7:56160690-56161689,17
chr7,chr7:30023600-30023800,ENSG00000136193,chr7:29958719-29959718,chr7:30029906-30030905,17
chr19,chr19:47755200-47757600,ENSG00000257704,chr19:47777142-47778141,chr19:47778980-47779979,17
chr9,chr9:95192200-95192800,ENSG00000127083,chr9:95175527-95176526,chr9:95186744-95187743,17
chr16,chr16:31111200-31113600,ENSG00000151006,chr16:31093746-31094745,chr16:31100950-31101949,17
chr20,chr20:55927000-55929200,ENSG00000256222,chr20:55932496-55933495,chr20:55934879-55935878,17
chr12,chr12:122632800-122634000,ENSG00000204671,chr12:122655577-122656576,chr12:122658747-122659746,17
chr20,chr20:45512000-45513800,ENSG00000064655,chr20:45522263-45523262,chr20:45817493-45818492,17
chr17,chr17:41646800-41648400,ENSG00000175832,chr17:41604212-41605211,chr17:41656989-41657988,17
chr15,chr15:66870200-66871600,ENSG00000188501,chr15:66838517-66839516,chr15:66858318-66859317,17
chr5,chr5:134189200-134191200,ENSG00000181904,chr5:134180370-134181369,chr5:134195428-134196427,17
chr3,chr3:145890000-145891200,ENSG00000152952,chr3:145786227-145787226,chr3:145881441-145882440,17
chr1,chr1:145732000-145733800,ENSG00000174827,chr1:145725918-145726917,chr1:145764075-145765074,17
chr18,chr18:32951000-32953200,ENSG00000186496,chr18:32945661-32946660,chr18:32957302-32958301,17
chr19,chr19:42806600-42808400,ENSG00000167619,chr19:42816477-42817476,chr19:42829215-42830214,17
chr3,chr3:11204800-11205000,ENSG00000196639,chr3:11177779-11178778,chr3:11305244-11306243,17
chr11,chr11:85416000-85417800,ENSG00000179071,chr11:85393893-85394892,chr11:85397321-85398320,17
chr14,chr14:96709800-96711200,ENSG00000258691,chr14:96670181-96671180,chr14:96730267-96731266,17
chr1,chr1:228354400-228355400,ENSG00000198835,chr1:228336553-228337552,chr1:228347528-228348527,17
chr4,chr4:5028400-5030400,ENSG00000152953,chr4:5052169-5053168,chr4:5502726-5503725,17
chr4,chr4:148374600-148375200,ENSG00000151617,chr4:148401069-148402068,chr4:148466107-148467106,17
chr11,chr11:665000-667400,ENSG00000069696,chr11:636293-637292,chr11:640707-641706,17
chr2,chr2:97313200-97314200,ENSG00000114982,chr2:97257907-97258906,chr2:97308525-97309524,17
chr6,chr6:136144400-136145800,ENSG00000171408,chr6:136171834-136172833,chr6:136516713-136517712,17
chr5,chr5:135716400-135718800,ENSG00000069018,chr5:135547999-135548998,chr5:135732731-135733730,18
chr1,chr1:13848800-13849000,ENSG00000162494,chr1:13800445-13801444,chr1:13840544-13841543,18
chrX,chrX:11322600-11324400,ENSG00000125363,chrX:11310533-11311532,chrX:11318882-11319881,18
chr19,chr19:46900600-46901400,ENSG00000169515,chr19:46912629-46913628,chr19:46916842-46917841,18
chr12,chr12:2993200-2994800,ENSG00000206044,chr12:2957397-2958396,chr12:2966214-2967213,18
chr8,chr8:76342400-76343000,ENSG00000164749,chr8:76319149-76320148,chr8:76479079-76480078,18
chr5,chr5:137580800-137583000,ENSG00000146013,chr5:137587068-137588067,chr5:137610361-137611360,18
chr5,chr5:121632200-121634600,ENSG00000064692,chr5:121646049-121647048,chr5:121799915-121800914,18
chr7,chr7:136540200-136541000,ENSG00000181072,chr7:136552416-136553415,chr7:136705003-136706002,18
chrX,chrX:64714600-64715800,ENSG00000102053,chrX:64707615-64708614,chrX:64727768-64728767,18
chr4,chr4:74447000-74447800,ENSG00000169435,chr4:74436267-74437266,chr4:74486349-74487348,18
chr12,chr12:54845800-54848200,ENSG00000170627,chr12:54848734-54849733,chr12:54867387-54868386,18
chr21,chr21:30984400-30986000,ENSG00000183653,chr21:30967360-30968359,chr21:31003068-31004067,18
chr12,chr12:11088400-11089200,ENSG00000212128,chr12:11059525-11060524,chr12:11062162-11063161,18
chr19,chr19:51346800-51348400,ENSG00000174562,chr19:51327545-51328544,chr19:51340470-51341469,18
chrX,chrX:107239400-107239800,ENSG00000170925,chrX:107223094-107224093,chrX:107225601-107226600,18
chr18,chr18:3230200-3231600,ENSG00000101605,chr18:3065805-3066804,chr18:3220107-3221106,18
chrX,chrX:107212400-107214000,ENSG00000170925,chrX:107223094-107224093,chrX:107225601-107226600,18
chr6,chr6:123988800-123991000,ENSG00000186439,chr6:123536483-123537482,chr6:123958239-123959238,18
chrX,chrX:6174600-6176000,ENSG00000146938,chrX:5757678-5758677,chrX:6146905-6147904,18
chr11,chr11:8322000-8323400,ENSG00000166407,chr11:8244851-8245850,chr11:8290264-8291263,18
chr12,chr12:54902600-54904000,ENSG00000170627,chr12:54848734-54849733,chr12:54867387-54868386,18
chrX,chrX:41311200-41312600,ENSG00000188937,chrX:41305687-41306686,chrX:41334964-41335963,18
chr19,chr19:49111800-49113000,ENSG00000105523,chr19:49103067-49104066,chr19:49118112-49119111,18
chr7,chr7:64309200-64311200,ENSG00000198039,chr7:64329550-64330549,chr7:64391345-64392344,18
chr14,chr14:23065400-23066800,ENSG00000255804,chr14:23101673-23102672,chr14:23103717-23104716,18
chr19,chr19:51346800-51348400,ENSG00000142515,chr19:51357171-51358170,chr19:51364021-51365020,18
chr1,chr1:173653800-173654000,ENSG00000183831,chr1:173577700-173578699,chr1:173639002-173640001,18
chr5,chr5:20608200-20609800,ENSG00000145526,chr5:19472060-19473059,chr5:20575983-20576982,18
chr9,chr9:71721800-71723000,ENSG00000119139,chr9:71735209-71736208,chr9:71870125-71871124,18
chr11,chr11:5545600-5547200,ENSG00000175520,chr11:5527530-5528529,chr11:5531216-5532215,18
chr11,chr11:63402800-63404400,ENSG00000176485,chr11:63339667-63340666,chr11:63384356-63385355,18
chr19,chr19:54921800-54923000,ENSG00000167614,chr19:54925393-54926392,chr19:54948081-54949080,18
chr12,chr12:91310800-91312200,ENSG00000197651,chr12:91298399-91299398,chr12:91348954-91349953,18
chr11,chr11:5545600-5547200,ENSG00000213931,chr11:5288582-5289581,chr11:5526848-5527847,18
chr22,chr22:24610200-24611800,ENSG00000099994,chr22:24576227-24577226,chr22:24585079-24586078,18
chr2,chr2:209238600-209238800,ENSG00000144407,chr2:209223438-209224437,chr2:209719228-209720227,18
chrX,chrX:30244800-30245400,ENSG00000214107,chrX:30260847-30261846,chrX:30270156-30271155,18
chrX,chrX:109670000-109672000,ENSG00000101935,chrX:109436414-109437413,chrX:109683462-109684461,18
chr6,chr6:31818600-31821000,ENSG00000204385,chr6:31829969-31830968,chr6:31846824-31847823,18
chr8,chr8:50813600-50814000,ENSG00000147481,chr8:50821349-50822348,chr8:51706679-51707678,18
chr15,chr15:69617600-69618600,ENSG00000137819,chr15:69590286-69591285,chr15:69700120-69701119,18
chr6,chr6:29362000-29363000,ENSG00000112462,chr6:29340200-29341199,chr6:29343069-29344068,18
chr2,chr2:220486200-220488200,ENSG00000114923,chr2:220491049-220492048,chr2:220506703-220507702,18
chr19,chr19:40237200-40238400,ENSG00000105205,chr19:40220890-40221889,chr19:40228669-40229668,18
chrX,chrX:30264200-30265400,ENSG00000120289,chrX:30259057-30260056,chrX:30262294-30263293,18
chr8,chr8:85121000-85121600,ENSG00000184672,chr8:85094022-85095021,chr8:85834080-85835079,18
chr17,chr17:26236600-26236800,ENSG00000232859,chr17:26204340-26205339,chr17:26221779-26222778,18
chr12,chr12:22584600-22585200,ENSG00000111728,chr12:22215707-22216706,chr12:22589976-22590975,18
chr17,chr17:8692000-8694400,ENSG00000185156,chr17:8699436-8700435,chr17:8702668-8703667,18
chr3,chr3:234600-234800,ENSG00000134121,chr3:237279-238278,chr3:451091-452090,18
chr10,chr10:71829600-71830000,ENSG00000099284,chr10:71811552-71812551,chr10:71872037-71873036,18
chr19,chr19:54514200-54516000,ENSG00000130433,chr19:54494542-54495541,chr19:54515924-54516923,18
chr3,chr3:172871200-172873400,ENSG00000144962,chr3:172606148-172607147,chr3:172859059-172860058,18
chr22,chr22:24326800-24328800,ENSG00000099977,chr22:24312554-24313553,chr22:24322661-24323660,18
chr4,chr4:118017600-118018400,ENSG00000174599,chr4:118003718-118004717,chr4:118006737-118007736,18
chr3,chr3:195431000-195433400,ENSG00000176945,chr3:195446753-195447752,chr3:195467995-195468994,18
chr8,chr8:56061400-56062200,ENSG00000253857,chr8:56073043-56074042,chr8:56077288-56078287,18
chr1,chr1:166944600-166947000,ENSG00000143194,chr1:166957346-166958345,chr1:166991452-166992451,18
chr21,chr21:42236000-42237800,ENSG00000171587,chr21:41381926-41382925,chr21:42219066-42220065,18
chr5,chr5:74883600-74885600,ENSG00000189045,chr5:74906284-74907283,chr5:74967672-74968671,18
chrX,chrX:154120200-154122600,ENSG00000198082,chrX:154112317-154113316,chrX:154113834-154114833,18
chr8,chr8:16395200-16396000,ENSG00000038945,chr8:15964387-15965386,chr8:16425000-16425999,18
chr18,chr18:49849800-49850800,ENSG00000187323,chr18:49865542-49866541,chr18:51057785-51058784,18
chr7,chr7:15743600-15744600,ENSG00000106511,chr7:15649837-15650836,chr7:15726438-15727437,18
chr13,chr13:53432800-53433000,ENSG00000136099,chr13:53417109-53418108,chr13:53422776-53423775,18
chr4,chr4:106792200-106794200,ENSG00000168743,chr4:106814932-106815931,chr4:106925185-106926184,18
chr8,chr8:61922000-61923800,ENSG00000177182,chr8:61968717-61969716,chr8:62414205-62415204,18
chr10,chr10:122364400-122365800,ENSG00000177234,chr10:122356721-122357720,chr10:122359630-122360629,18
chr19,chr19:48101200-48103400,ENSG00000063169,chr19:48110453-48111452,chr19:48206534-48207533,18
chr18,chr18:63391200-63391800,ENSG00000081138,chr18:63416488-63417487,chr18:63548639-63549638,18
chr17,chr17:26740600-26741400,ENSG00000076351,chr17:26720661-26721660,chr17:26734216-26735215,18
chrX,chrX:132256400-132257600,ENSG00000134588,chrX:132157659-132158658,chrX:132231138-132232137,18
chr19,chr19:51346800-51348400,ENSG00000167751,chr19:51363824-51364823,chr19:51383824-51384823,18
chr14,chr14:51354000-51354400,ENSG00000131969,chr14:51337878-51338877,chr14:51371689-51372688,18
chrX,chrX:30244800-30245400,ENSG00000120289,chrX:30259057-30260056,chrX:30262294-30263293,18
chr18,chr18:67064000-67064800,ENSG00000206052,chr18:67067291-67068290,chr18:67516324-67517323,18
chr10,chr10:91341600-91342800,ENSG00000152779,chr10:91189051-91190050,chr10:91316399-91317398,18
chr5,chr5:121656400-121656600,ENSG00000064692,chr5:121646049-121647048,chr5:121799915-121800914,18
chr4,chr4:118000200-118001000,ENSG00000174599,chr4:118003718-118004717,chr4:118006737-118007736,18
chrX,chrX:107214400-107215600,ENSG00000170925,chrX:107223094-107224093,chrX:107225601-107226600,18
chr15,chr15:23896000-23897600,ENSG00000254585,chr15:23887691-23888690,chr15:23891176-23892175,18
chr1,chr1:119889200-119891600,ENSG00000116882,chr1:119910402-119911401,chr1:119936754-119937753,18
chr3,chr3:57149000-57151000,ENSG00000163947,chr3:56760446-56761445,chr3:57113358-57114357,18
chr22,chr22:36584400-36586400,ENSG00000100336,chr22:36584172-36585171,chr22:36600887-36601886,18
chrX,chrX:106784200-106786600,ENSG00000147234,chrX:106764680-106765679,chrX:106848482-106849481,18
chr11,chr11:123540600-123541000,ENSG00000166257,chr11:123498895-123499894,chr11:123525953-123526952,18
chr2,chr2:209239800-209241600,ENSG00000144407,chr2:209223438-209224437,chr2:209719228-209720227,18
chrX,chrX:22042400-22044400,ENSG00000102174,chrX:22049559-22050558,chrX:22269428-22270427,18
chr12,chr12:54923000-54924200,ENSG00000170627,chr12:54848734-54849733,chr12:54867387-54868386,18
chr14,chr14:61142800-61143000,ENSG00000126778,chr14:61109133-61110132,chr14:61124978-61125977,18
chrX,chrX:103524200-103525000,ENSG00000123576,chrX:103493719-103494718,chrX:103499615-103500614,18
chr5,chr5:135700800-135701800,ENSG00000069018,chr5:135547999-135548998,chr5:135732731-135733730,18
chr12,chr12:54845200-54845400,ENSG00000170627,chr12:54848734-54849733,chr12:54867387-54868386,18
chr11,chr11:59730600-59732400,ENSG00000214788,chr11:59704928-59705927,chr11:59712808-59713807,18
chr2,chr2:207121200-207122400,ENSG00000204186,chr2:207138387-207139386,chr2:207179149-207180148,18
chr12,chr12:130842400-130843000,ENSG00000125207,chr12:130821432-130822431,chr12:130857183-130858182,18
chrX,chrX:102839200-102840200,ENSG00000133142,chrX:102830159-102831158,chrX:102842658-102843657,18
chrX,chrX:129552400-129554200,ENSG00000147262,chrX:129517319-129518318,chrX:129519512-129520511,18
chr2,chr2:142938400-142939200,ENSG00000168702,chr2:140987992-140988991,chr2:142889271-142890270,18
chrX,chrX:102548000-102548200,ENSG00000133134,chrX:102563274-102564273,chrX:102565975-102566974,19
chr11,chr11:22366000-22366800,ENSG00000091664,chr11:22358643-22359642,chr11:22401050-22402049,19
chr5,chr5:134887200-134888000,ENSG00000181965,chr5:134868991-134869990,chr5:134871640-134872639,19
chr12,chr12:55047000-55049400,ENSG00000161634,chr12:55037375-55038374,chr12:55042278-55043277,19
chr6,chr6:50696600-50698600,ENSG00000008197,chr6:50680541-50681540,chr6:50740702-50741701,19
chr17,chr17:26226200-26227200,ENSG00000232859,chr17:26204340-26205339,chr17:26221779-26222778,19
chr2,chr2:202234200-202235200,ENSG00000155749,chr2:202151994-202152993,chr2:202222122-202223121,19
chr12,chr12:21526400-21527400,ENSG00000121351,chr12:21506893-21507892,chr12:21532913-21533912,19
chrX,chrX:107668800-107670600,ENSG00000197565,chrX:107385780-107386779,chrX:107682728-107683727,19
chr6,chr6:155622400-155624200,ENSG00000171217,chr6:155584147-155585146,chr6:155597683-155598682,19
chr19,chr19:51188200-51189800,ENSG00000213023,chr19:51123564-51124563,chr19:51171652-51172651,19
chr3,chr3:63193800-63196000,ENSG00000163630,chr3:63212991-63213990,chr3:63602598-63603597,19
chr6,chr6:44139800-44142200,ENSG00000137225,chr6:44125548-44126547,chr6:44152140-44153139,19
chrX,chrX:64682600-64684600,ENSG00000102053,chrX:64707615-64708614,chrX:64727768-64728767,19
chr2,chr2:233918200-233920200,ENSG00000168918,chr2:233923677-233924676,chr2:234116550-234117549,19
chr11,chr11:6708400-6709600,ENSG00000166341,chr11:6641556-6642555,chr11:6677086-6678085,19
chr6,chr6:83773200-83774800,ENSG00000214479,chr6:83781692-83782691,chr6:83782855-83783854,19
chr2,chr2:169732800-169734200,ENSG00000152254,chr2:169756750-169757749,chr2:169766506-169767505,19
chr11,chr11:57396200-57398400,ENSG00000149131,chr11:57363860-57364859,chr11:57382327-57383326,19
chrX,chrX:72673800-72674800,ENSG00000131264,chrX:72666090-72667089,chrX:72675082-72676081,19
chrX,chrX:72680000-72680400,ENSG00000131264,chrX:72666090-72667089,chrX:72675082-72676081,19
chr1,chr1:27193600-27195600,ENSG00000175793,chr1:27188633-27189632,chr1:27190948-27191947,19
chrX,chrX:107658200-107660600,ENSG00000188153,chrX:107682074-107683073,chrX:107940776-107941775,19
chr1,chr1:176448400-176449800,ENSG00000116183,chr1:176431307-176432306,chr1:176814736-176815735,19
chr7,chr7:83326400-83328400,ENSG00000170381,chr7:82992222-82993221,chr7:83278327-83279326,19
chr3,chr3:63203400-63204200,ENSG00000163630,chr3:63212991-63213990,chr3:63602598-63603597,19
chr6,chr6:131897000-131898600,ENSG00000118520,chr6:131893284-131894283,chr6:131905473-131906472,19
chr5,chr5:137435400-137436000,ENSG00000061492,chr5:137418581-137419580,chr5:137428055-137429054,19
chr20,chr20:49316800-49319200,ENSG00000042062,chr20:49201645-49202644,chr20:49308066-49309065,19
